area_type,availability,location,size,total_sqft,bath,balcony,City,Price,BHK,ready_to_move,price_per_sqft
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1140,2,2,Bangalore,3865000,2,1,3390.350877
Super built-up  Area,19-12-2024 00:00,Whitefield,3 BHK,3596,3,1,Bangalore,20000000,3,0,5561.735261
Super built-up  Area,Ready To Move,Kalkere,3 BHK,1365,3,2,Bangalore,5400000,3,1,3956.043956
Super built-up  Area,Ready To Move,Bethel Nagar,1 BHK,560,1,0,Bangalore,1900000,1,1,3392.857143
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1404,2,1,Bangalore,7500000,2,1,5341.880342
Super built-up  Area,Ready To Move,Bellandur,4 BHK,1540,4,3,Bangalore,4500000,4,1,2922.077922
Built-up  Area,Ready To Move,Electronic City,3 BHK,1050,2,1,Bangalore,3900000,3,1,3714.285714
Plot  Area,Ready To Move,Lingarajapuram,4 Bedroom,360,4,3,Bangalore,3700000,4,1,10277.77778
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,1550,3,3,Bangalore,7250000,3,1,4677.419355
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1653,3,3,Bangalore,9300000,3,1,5626.134301
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,1194,2,2,Bangalore,4700000,2,1,3936.348409
Super built-up  Area,Ready To Move,Narayana Nagar 1st Block,3 BHK,1471,2,3,Bangalore,7500000,3,1,5098.5724
Super built-up  Area,21-12-2024 00:00,Kanakpura Road,2 BHK,700,2,1,Bangalore,3500000,2,0,5000
Built-up  Area,Ready To Move,Kudlu Gate,2 BHK,812,2,1,Bangalore,3825000,2,1,4710.591133
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1504,2,2,Bangalore,8300000,3,1,5518.617021
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,1450,3,2,Bangalore,7500000,3,1,5172.413793
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,957,2,2,Bangalore,5450000,2,1,5694.879833
Carpet  Area,Ready To Move,Attibele,1 BHK,460,1,1,Bangalore,1300000,1,1,2826.086957
Plot  Area,Ready To Move,poornaprajna layout,2 Bedroom,900,2,0,Bangalore,12800000,2,1,14222.22222
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050,2,1,Bangalore,7500000,2,1,7142.857143
Super built-up  Area,Ready To Move,Budigere,3 BHK,1820,3,2,Bangalore,8500000,3,1,4670.32967
Super built-up  Area,19-12-2024 00:00,Varthur Road,2 BHK,1033,2,2,Bangalore,3200000,2,0,3097.773475
Plot  Area,Ready To Move,Kumaraswami Layout,2 Bedroom,800,1,1,Bangalore,9000000,2,1,11250
Plot  Area,Ready To Move,Kadabagere,1 Bedroom,520,2,0,Bangalore,2900000,1,1,5576.923077
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,1165,2,2,Bangalore,8850000,2,1,7596.566524
Super built-up  Area,Ready To Move,Gottigere,2 BHK,1280,2,1,Bangalore,6100000,2,1,4765.625
Built-up  Area,Ready To Move,Cambridge Layout,3 BHK,1950,3,3,Bangalore,23000000,3,1,11794.87179
Plot  Area,Ready To Move,BTM 4th Stage,1 Bedroom,600,1,0,Bangalore,5800000,1,1,9666.666667
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1550,3,3,Bangalore,6510000,3,1,4200
Super built-up  Area,Ready To Move,Nagavarapalya,2 BHK,1392,2,1,Bangalore,13000000,2,1,9339.08046
Super built-up  Area,Ready To Move,Jigani,3 BHK,1221,3,3,Bangalore,7500000,3,1,6142.506143
Super built-up  Area,Ready To Move,AMS Layout,1 BHK,1000,1,1,Bangalore,1900000,1,1,1900
Built-up  Area,Ready To Move,KR Garden,2 BHK,1300,2,2,Bangalore,6000000,2,1,4615.384615
Built-up  Area,Ready To Move,Hoskote,2 BHK,1065,2,3,Bangalore,3150000,2,1,2957.746479
Built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,1209,2,3,Bangalore,6500000,3,1,5376.344086
Plot  Area,Ready To Move,BTM 1st Stage,1 Bedroom,375,1,0,Bangalore,4000000,1,1,10666.66667
Plot  Area,Ready To Move,Dollars Colony,3 Bedroom,7800,3,2,Bangalore,200000000,3,1,25641.02564
Super built-up  Area,19-03-2024 00:00,Sarjapur  Road,3 BHK,1929,4,1,Bangalore,10100000,3,0,5235.87351
Built-up  Area,Ready To Move,Hennur Road,2 BHK,1255,2,1,Bangalore,8400000,2,1,6693.227092
Super built-up  Area,19-12-2024 00:00,Jalahalli,2 BHK,1035,2,1,Bangalore,3105000,2,0,3000
Plot  Area,Ready To Move,Annapurneshwari Nagar,4 Bedroom,1200,5,2,Bangalore,27000000,4,1,22500
Super built-up  Area,18-05-2024 00:00,Banashankari,3 BHK,1650,3,2,Bangalore,10100000,3,0,6121.212121
Built-up  Area,Ready To Move,Whitefield,3 BHK,1275,2,3,Bangalore,6500000,3,1,5098.039216
Super built-up  Area,18-08-2024 00:00,Electronic City,2 BHK,1128,2,1,Bangalore,6558000,2,0,5813.829787
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1140,2,2,Bangalore,3855000,2,1,3381.578947
Plot  Area,Ready To Move,OMBR Layout,4 Bedroom,1200,4,2,Bangalore,20000000,4,1,16666.66667
Super built-up  Area,21-11-2024 00:00,Thanisandra,2 BHK,1183,2,2,Bangalore,5856000,2,0,4950.126796
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1155,2,1,Bangalore,3900000,2,1,3376.623377
Super built-up  Area,Ready To Move,Kengeri,3 BHK,1245,2,2,Bangalore,4357000,3,1,3499.598394
Built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1000,2,1,Bangalore,3800000,2,1,3800
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1040,2,1,Bangalore,7500000,2,1,7211.538462
Super built-up  Area,Ready To Move,Ardendale,4 BHK,2062,3,2,Bangalore,14000000,4,1,6789.524733
Super built-up  Area,Ready To Move,Kundalahalli Colony,3 BHK,1477,2,2,Bangalore,7500000,3,1,5077.860528
Plot  Area,17-08-2024 00:00,Nagadevanahalli,4 Bedroom,1050,3,3,Bangalore,8500000,4,0,8095.238095
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1525,2,2,Bangalore,6500000,3,1,4262.295082
Plot  Area,Immediate Possession,Carmelaram,,2000,2,2,Bangalore,12000000,3,0,6000
Super built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,1220,2,1,Bangalore,6500000,2,1,5327.868852
Super built-up  Area,Ready To Move,Hebbal,3 BHK,2388,3,1,Bangalore,19500000,3,1,8165.829146
Super built-up  Area,18-04-2024 00:00,Electronic City,2 BHK,1355,2,1,Bangalore,9760000,2,0,7202.95203
Built-up  Area,Ready To Move,Whitefield,2 BHK,1141,2,1,Bangalore,6200000,2,1,5433.829974
Super built-up  Area,21-06-2024 00:00,Vijayanagar,2 BHK,1046,2,0,Bangalore,4906000,2,0,4690.248566
Super built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,630,1,2,Bangalore,3500000,1,1,5555.555556
Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,1247,2,2,Bangalore,6235000,2,1,5000
Built-up  Area,Ready To Move,Marathahalli,4 BHK,3855,4,3,Bangalore,22000000,4,1,5706.874189
Super built-up  Area,Ready To Move,Geddalahalli,2 BHK,850,2,1,Bangalore,3250000,2,1,3823.529412
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1120,2,2,Bangalore,3600000,2,1,3214.285714
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,800,8,2,Bangalore,28500000,8,1,35625
Super built-up  Area,18-08-2024 00:00,Jakkur,3 BHK,1798,3,1,Bangalore,11000000,3,0,6117.908788
Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1180,2,1,Bangalore,4500000,3,1,3813.559322
Super built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,1000,2,1,Bangalore,3400000,2,1,3400
Super built-up  Area,19-03-2024 00:00,Whitefield,2 BHK,1216,2,1,Bangalore,8200000,2,0,6743.421053
Built-up  Area,Ready To Move,Margondanahalli,2 Bedroom,900,2,0,Bangalore,6500000,2,1,7222.222222
Built-up  Area,Ready To Move,TC Palaya,2 Bedroom,1100,2,0,Bangalore,6500000,2,1,5909.090909
Super built-up  Area,20-01-2024 00:00,Badavala Nagar,3 BHK,1842,3,2,Bangalore,11500000,3,0,6243.213898
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2,1,Bangalore,4300000,3,1,4000
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1495,3,3,Bangalore,8800000,2,1,5886.287625
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1700,3,3,Bangalore,12000000,3,1,7058.823529
Super built-up  Area,20-12-2024 00:00,Whitefield,3 BHK,1564,3,1,Bangalore,10300000,3,0,6585.677749
Super built-up  Area,18-04-2024 00:00,Reliaable Tranquil Layout,2 BHK,1256,2,1,Bangalore,6500000,2,0,5175.159236
Super built-up  Area,18-06-2024 00:00,Kundalahalli,2 BHK,1047,2,1,Bangalore,8900000,2,0,8500.477555
Super built-up  Area,18-04-2024 00:00,Bhoganhalli,3 BHK,1458,3,1,Bangalore,7845000,3,0,5380.658436
Super built-up  Area,19-12-2024 00:00,Hoodi,2 BHK,1063,2,1,Bangalore,6117000,2,0,5754.468485
Super built-up  Area,Ready To Move,Sadashiva Nagar,4 BHK,7400,5,2,Bangalore,185000000,4,1,25000
Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,1150,2,1,Bangalore,5250000,2,1,4565.217391
Built-up  Area,Ready To Move,Chandapura,1 BHK,450,1,1,Bangalore,900000,1,1,2000
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,1360,2,0,Bangalore,4500000,2,1,3308.823529
Built-up  Area,Ready To Move,Marathahalli,3 BHK,1605,3,2,Bangalore,7600000,3,1,4735.202492
Carpet  Area,Ready To Move,Nagarbhavi,3 BHK,1200,4,2,Bangalore,20500000,3,1,17083.33333
Super built-up  Area,18-08-2024 00:00,Haralur Road,3 BHK,1810,3,2,Bangalore,10000000,3,0,5524.861878
Super built-up  Area,18-08-2024 00:00,LB Shastri Nagar,2 BHK,1250,2,2,Bangalore,4850000,2,0,3880
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,1475,2,2,Bangalore,5899000,3,1,3999.322034
Built-up  Area,Ready To Move,R.T. Nagar,2 Bedroom,1100,3,0,Bangalore,12500000,2,1,11363.63636
Super built-up  Area,18-12-2024 00:00,Dommasandra,2 BHK,850,2,1,Bangalore,2540000,2,0,2988.235294
Built-up  Area,18-07-2024 00:00,Electronic City Phase II,2 BHK,1025,2,1,Bangalore,2665000,2,0,2600
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,980,2,1,Bangalore,4500000,2,1,4591.836735
Super built-up  Area,Ready To Move,Basavanagara,3 BHK,1428,2,1,Bangalore,7000000,3,1,4901.960784
Super built-up  Area,Ready To Move,Shanti Nagar,2 BHK,1130,2,2,Bangalore,7400000,2,1,6548.672566
Super built-up  Area,19-07-2024 00:00,Kanakpura Road,3 BHK,1592,3,2,Bangalore,12500000,3,0,7851.758794
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,2050,3,3,Bangalore,8200000,3,1,4000
Super built-up  Area,Ready To Move,Bagalur,2 BHK,1407,2,1,Bangalore,8387000,2,1,5960.909737
Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,4170,3,2,Bangalore,80000000,3,1,19184.65228
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1585,3,1,Bangalore,8400000,3,1,5299.684543
Built-up  Area,Ready To Move,Jakkur,3 BHK,1785,3,2,Bangalore,13000000,3,1,7282.913165
Built-up  Area,Ready To Move,BSM Extension,2 BHK,900,2,3,Bangalore,4500000,2,1,5000
Plot  Area,Ready To Move,Somanna Garden,4 Bedroom,1350,4,2,Bangalore,16000000,4,1,11851.85185
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1843,3,2,Bangalore,9620000,3,1,5219.750407
Super built-up  Area,Ready To Move,Munivenkatppa Layout,4 BHK,2375,3,2,Bangalore,26000000,4,1,10947.36842
Super built-up  Area,Ready To Move,RPC layout,2 BHK,1200,2,1,Bangalore,6700000,2,1,5583.333333
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1113,2,1,Bangalore,5200000,2,1,4672.057502
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1125,2,1,Bangalore,4700000,2,1,4177.777778
Plot  Area,18-07-2024 00:00,Whitefield,3 Bedroom,1200,3,1,Bangalore,5600000,3,0,4666.666667
Super built-up  Area,Ready To Move,Anekal,3 BHK,1150,3,2,Bangalore,4500000,3,1,3913.043478
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,770,1,1,Bangalore,7000000,2,1,9090.909091
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,1181,2,2,Bangalore,5700000,2,1,4826.41829
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1550,3,3,Bangalore,6470000,3,1,4174.193548
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1200,2,2,Bangalore,8600000,2,1,7166.666667
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1295,2,2,Bangalore,5547000,2,1,4283.397683
Plot  Area,Ready To Move,Kenchenahalli,3 Bedroom,480,3,3,Bangalore,6500000,3,1,13541.66667
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1506,3,1,Bangalore,9500000,3,1,6308.10093
Built-up  Area,Ready To Move,"HSR Layout 7th sector, ",3 BHK,1872,3,2,Bangalore,15200000,3,1,8119.65812
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,2900,4,2,Bangalore,24000000,4,1,8275.862069
Super built-up  Area,18-06-2024 00:00,Abbigere,3 BHK,1326,2,1,Bangalore,3500000,3,0,2639.517345
Super built-up  Area,Ready To Move,Talaghattapura,2 BHK,1040,2,1,Bangalore,3328000,2,1,3200
Plot  Area,Ready To Move,Bettadasanapura,5 Bedroom,1200,5,1,Bangalore,9000000,5,1,7500
Super built-up  Area,Ready To Move,Hennur,2 BHK,1020,2,1,Bangalore,4800000,2,1,4705.882353
Super built-up  Area,Ready To Move,Gokula Extension,3 BHK,1400,3,2,Bangalore,9000000,3,1,6428.571429
Super built-up  Area,Ready To Move,Neeladri Nagar,10 BHK,4000,12,2,Bangalore,16000000,10,1,4000
Plot  Area,Ready To Move,Weavers Colony,1 Bedroom,812,1,1,Bangalore,2600000,1,1,3201.970443
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,1100,2,1,Bangalore,5400000,2,1,4909.090909
Super built-up  Area,19-08-2024 00:00,Kodathi,2 BHK,829,2,1,Bangalore,2280000,2,0,2750.301568
Plot  Area,Ready To Move,Vijayanagar,5 Bedroom,750,4,3,Bangalore,9500000,5,1,12666.66667
Plot  Area,Ready To Move,Sanjay nagar,4 Bedroom,2700,4,2,Bangalore,35000000,4,1,12962.96296
Super built-up  Area,21-05-2024 00:00,Kanakpura Road,3 BHK,1500,3,1,Bangalore,7299000,3,0,4866
Built-up  Area,Ready To Move,Ananth Nagar,2 BHK,850,2,1,Bangalore,2599000,2,1,3057.647059
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,1180,2,2,Bangalore,6000000,2,1,5084.745763
Super built-up  Area,19-12-2024 00:00,Cunningham Road,4 BHK,5108,5,2,Bangalore,99500000,4,0,19479.24824
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,2215,4,2,Bangalore,15000000,3,1,6772.009029
Super built-up  Area,Ready To Move,Channasandra,2 BHK,1010,2,1,Bangalore,3600000,2,1,3564.356436
Built-up  Area,Ready To Move,Marathahalli,2 BHK,1350,2,2,Bangalore,6000000,2,1,4444.444444
Built-up  Area,Ready To Move,Talaghattapura,2 BHK,1100,2,0,Bangalore,5000000,2,1,4545.454545
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1450,2,2,Bangalore,6293000,3,1,4340
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1133,2,2,Bangalore,4000000,2,1,3530.450132
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1564,3,2,Bangalore,10000000,3,1,6393.861893
Plot  Area,Ready To Move,Doddaballapur,2 Bedroom,640,1,0,Bangalore,1050000,2,1,1640.625
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,2072,4,2,Bangalore,15700000,3,1,7577.220077
Plot  Area,Ready To Move,Rajaji Nagar,2 Bedroom,432,2,1,Bangalore,6500000,2,1,15046.2963
Super built-up  Area,Ready To Move,Kanakapura,3 BHK,1460,2,3,Bangalore,5110000,3,1,3500
Super built-up  Area,Ready To Move,A Narayanapura,1 BHK,600,2,1,Bangalore,3500000,1,1,5833.333333
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,1050,2,2,Bangalore,5207000,2,1,4959.047619
Built-up  Area,21-12-2024 00:00,"Judicial Layout, Kanakapura Road, ",2 BHK,700,2,1,Bangalore,3500000,2,0,5000
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1200,3,0,Bangalore,6600000,3,1,5500
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,654,1,1,Bangalore,3800000,1,1,5810.397554
Super built-up  Area,Ready To Move,Ankappa Layout,2 BHK,1105,2,2,Bangalore,5000000,2,1,4524.886878
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,1800,3,3,Bangalore,15000000,3,1,8333.333333
Plot  Area,Ready To Move,Yelachenahalli,2 Bedroom,1200,2,2,Bangalore,16000000,2,1,13333.33333
Super built-up  Area,Ready To Move,Kogilu,1 BHK,700,1,1,Bangalore,3084000,1,1,4405.714286
Super built-up  Area,Ready To Move,Amruthnagar,2 BHK,1000,2,1,Bangalore,5100000,2,1,5100
Built-up  Area,Ready To Move,HSR Layout,5 Bedroom,3500,5,0,Bangalore,35000000,5,1,10000
Super built-up  Area,18-04-2024 00:00,Gattahalli,3 BHK,1240,2,1,Bangalore,6300000,3,0,5080.645161
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1200,2,3,Bangalore,4500000,2,1,3750
Super built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,1400,2,2,Bangalore,8000000,3,1,5714.285714
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,3 BHK,1393,3,2,Bangalore,5400000,3,1,3876.525485
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1140,2,2,Bangalore,5000000,2,1,4385.964912
Plot  Area,Ready To Move,Sahakara Nagar,5 Bedroom,1000,5,2,Bangalore,13000000,5,1,13000
Built-up  Area,Ready To Move,Gulimangala,3 BHK,1640,3,2,Bangalore,7000000,3,1,4268.292683
Plot  Area,Ready To Move,Kithaganur,2 Bedroom,1200,2,0,Bangalore,6200000,2,1,5166.666667
Built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,720,2,2,Bangalore,6500000,2,1,9027.777778
Super built-up  Area,Ready To Move,Yelenahalli,3 BHK,1650,3,3,Bangalore,6800000,3,1,4121.212121
Super built-up  Area,Ready To Move,Nagavara,4 BHK,2496,4,2,Bangalore,12500000,4,1,5008.012821
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,905,2,1,Bangalore,3200000,2,1,3535.911602
Super built-up  Area,Ready To Move,HAL 2nd Stage,3 BHK,1600,3,1,Bangalore,12500000,3,1,7812.5
Super built-up  Area,17-04-2024 00:00,Chikkalasandra,2 BHK,1070,2,1,Bangalore,4548000,2,0,4250.46729
Plot  Area,Ready To Move,Yemlur,4 Bedroom,8400,5,2,Bangalore,167500000,4,1,19940.47619
Built-up  Area,Ready To Move,Koramangala,2 BHK,1200,2,2,Bangalore,10000000,2,1,8333.333333
Plot  Area,Ready To Move,Indira Nagar,5 Bedroom,1800,5,2,Bangalore,35000000,5,1,19444.44444
Built-up  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,2600,4,2,Bangalore,11500000,4,1,4423.076923
Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,1145,2,2,Bangalore,7500000,2,1,6550.218341
Super built-up  Area,Ready To Move,Addischetan Layout,3 BHK,1495,3,2,Bangalore,5500000,3,1,3678.929766
Plot  Area,Ready To Move,Basavanagara,3 Bedroom,1200,2,1,Bangalore,30000000,3,1,25000
Built-up  Area,Ready To Move,Stage-4 Bommanahalli,3 BHK,1400,3,2,Bangalore,5300000,3,1,3785.714286
Built-up  Area,18-12-2024 00:00,Whitefield,3 BHK,1558,3,2,Bangalore,9000000,3,0,5776.636714
Super built-up  Area,20-01-2024 00:00,Balagere,2 BHK,1007,2,1,Bangalore,5300000,2,0,5263.157895
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,902,2,1,Bangalore,2526000,2,1,2800.443459
Super built-up  Area,Ready To Move,Kallumantapa,2 BHK,1054,2,1,Bangalore,5300000,2,1,5028.462998
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1135,2,3,Bangalore,3973000,3,1,3500.440529
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,996,2,2,Bangalore,4900000,2,1,4919.678715
Super built-up  Area,18-08-2024 00:00,Vimanapura,2 BHK,1275,2,2,Bangalore,4700000,2,0,3686.27451
Plot  Area,Ready To Move,NRI Layout,2 Bedroom,1250,2,0,Bangalore,7500000,2,1,6000
Built-up  Area,Ready To Move,Hennur,4 BHK,2502,4,2,Bangalore,17000000,4,1,6794.564349
Super built-up  Area,Ready To Move,Sadaramangala,2 BHK,1394,2,3,Bangalore,5200000,2,1,3730.272597
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1243,2,2,Bangalore,4600000,2,1,3700.724055
Super built-up  Area,18-12-2024 00:00,Whitefield,2 BHK,1216,2,1,Bangalore,7500000,2,0,6167.763158
Super built-up  Area,Ready To Move,Konena Agrahara,2 BHK,1075,2,1,Bangalore,5700000,2,1,5302.325581
Plot  Area,Immediate Possession,Mysore Road,,1800,2,2,Bangalore,4230000,3,0,2350
Built-up  Area,Ready To Move,Indira Nagar,3 BHK,1500,3,3,Bangalore,12000000,3,1,8000
Super built-up  Area,18-10-2024 00:00,Rayasandra,4 BHK,1708,3,1,Bangalore,7600000,4,0,4449.648712
Plot  Area,Ready To Move,Whitefield,3 Bedroom,1500,3,1,Bangalore,25000000,3,1,16666.66667
Built-up  Area,Ready To Move,Jakkur Plantation,3 BHK,1800,4,3,Bangalore,11500000,3,1,6388.888889
Super built-up  Area,Ready To Move,Harlur,2 BHK,1532,2,1,Bangalore,6500000,2,1,4242.819843
Super built-up  Area,18-09-2024 00:00,Hosa Road,3 BHK,1726,3,2,Bangalore,8199000,3,0,4750.289687
Super built-up  Area,Ready To Move,Hanumanth Nagar,2 BHK,1220,2,2,Bangalore,5489000,2,1,4499.180328
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,1100,2,2,Bangalore,5000000,2,1,4545.454545
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1530,3,3,Bangalore,4000000,3,1,2614.379085
Super built-up  Area,18-01-2024 00:00,Hosa Road,2 BHK,840,2,1,Bangalore,2800000,2,0,3333.333333
Super built-up  Area,18-04-2024 00:00,Bommanahalli,3 BHK,1250,4,3,Bangalore,3900000,3,0,3120
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,1030,2,2,Bangalore,3500000,2,1,3398.058252
Super built-up  Area,Ready To Move,Raghavendra Layout,3 BHK,1499,3,2,Bangalore,8900000,3,1,5937.291528
Super built-up  Area,Ready To Move,Varsova Layout,3 BHK,1280,2,3,Bangalore,5500000,3,1,4296.875
Built-up  Area,Ready To Move,Munnekollal,2 BHK,1170,2,2,Bangalore,5900000,2,1,5042.735043
Plot  Area,Ready To Move,Chikka Tirupathi,3 Bedroom,2646,3,2,Bangalore,9900000,3,1,3741.496599
Super built-up  Area,18-04-2024 00:00,Thirumenahalli,2 BHK,1161,2,3,Bangalore,3669000,2,0,3160.206718
Plot  Area,Ready To Move,Yelahanka,2 Bedroom,1633,2,1,Bangalore,7200000,2,1,4409.063074
Built-up  Area,Ready To Move,Richards Town,2 BHK,1050,2,2,Bangalore,6500000,2,1,6190.47619
Plot  Area,18-04-2024 00:00,Hennur Road,4 Bedroom,1650,5,3,Bangalore,30900000,4,0,18727.27273
Super built-up  Area,19-12-2024 00:00,Varthur Road,1 BHK,552.5,1,0,Bangalore,1326000,1,0,2400
Super built-up  Area,Ready To Move,Attibele,1 BHK,418,2,1,Bangalore,1150000,1,1,2751.196172
Super built-up  Area,Ready To Move,Bhattarahalli,2 BHK,905,2,2,Bangalore,5000000,2,1,5524.861878
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1510,2,2,Bangalore,5500000,3,1,3642.384106
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,1390,2,3,Bangalore,6047000,3,1,4350.359712
Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,1101,2,2,Bangalore,6600000,2,1,5994.550409
Super built-up  Area,Ready To Move,Srirampura,4 BHK,2736,4,2,Bangalore,13000000,4,1,4751.461988
Super built-up  Area,18-04-2024 00:00,EPIP Zone,3 BHK,2350,4,2,Bangalore,16300000,3,0,6936.170213
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar 5th Stage,2 BHK,1056,2,2,Bangalore,5500000,2,1,5208.333333
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1425,2,2,Bangalore,4988000,3,1,3500.350877
Super built-up  Area,17-06-2024 00:00,Electronics City Phase 1,3 BHK,1450,3,1,Bangalore,7000000,3,0,4827.586207
Built-up  Area,Ready To Move,Pai Layout,2 BHK,1000,2,2,Bangalore,3400000,2,1,3400
Super built-up  Area,18-03-2024 00:00,Haralur Road,1 BHK,575,1,1,Bangalore,3800000,1,0,6608.695652
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1350,2,2,Bangalore,4724000,3,1,3499.259259
Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,2000,2,0,Bangalore,18000000,3,1,9000
Built-up  Area,Ready To Move,Raghavendra Layout,3 BHK,1770,3,2,Bangalore,9000000,3,1,5084.745763
Super built-up  Area,Ready To Move,Byadarahalli,3 BHK,3155,3,2,Bangalore,31500000,3,1,9984.152139
Plot  Area,Ready To Move,Anandapura,2 Bedroom,616,3,1,Bangalore,4500000,2,1,7305.194805
Super built-up  Area,Ready To Move,JP Nagar,1 BHK,745,1,0,Bangalore,3427000,1,1,4600
Built-up  Area,Ready To Move,Nayandanahalli,7 Bedroom,6500,7,1,Bangalore,10400000,7,1,1600
Plot  Area,Ready To Move,HAL 2nd Stage,4 Bedroom,2400,4,1,Bangalore,65000000,4,1,27083.33333
Super built-up  Area,18-08-2024 00:00,Kudlu Gate,2 BHK,1547,2,2,Bangalore,10300000,2,0,6658.047835
Super built-up  Area,Ready To Move,Panathur,3 BHK,1713,3,1,Bangalore,12000000,3,1,7005.25394
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,3300,4,2,Bangalore,43000000,4,1,13030.30303
Plot  Area,Ready To Move,Mahalakshmi Layout,8 Bedroom,1135,4,1,Bangalore,19000000,8,1,16740.08811
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,1856,4,2,Bangalore,18000000,3,1,9698.275862
Super built-up  Area,Ready To Move,RMV Extension,2 BHK,1152,2,1,Bangalore,5700000,2,1,4947.916667
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1100,2,1,Bangalore,4675000,2,1,4250
Super built-up  Area,Ready To Move,Narayanapura,3 BHK,2357,3,2,Bangalore,13500000,3,1,5727.619856
